Product_ID,Product_Name,Category_ID,Subcategory,Unit_Price,Unit_Cost
PROD-1001,iPhone 15 Pro Model Classic,CAT-01,Phones,718.18,502.73
PROD-1002,Samsung Galaxy S24 Model Classic,CAT-01,Phones,479.29,335.5
PROD-1003,Google Pixel 8 Model Pro,CAT-01,Phones,996.06,697.24
PROD-1004,OnePlus 12 Model Elite,CAT-01,Phones,444.99,311.49
PROD-1005,iPhone SE Model Classic,CAT-01,Phones,824.06,576.84
PROD-1006,Moto G Power Model Elite,CAT-01,Phones,1001.39,700.97
PROD-1007,Xiaomi Redmi Note Model Pro,CAT-01,Phones,275.73,193.01
PROD-1008,Nokia G310 Model Pro,CAT-01,Phones,1152.5,806.75
PROD-1009,Canon ImageRUNNER Model Classic,CAT-01,Copiers,477.28,334.1
PROD-1010,HP LaserJet Enterprise Model Pro,CAT-01,Copiers,1021.85,715.3
PROD-1011,Xerox Altalink Copier Model Plus,CAT-01,Copiers,905.95,634.16
PROD-1012,Brother Monochrome Copier Model Elite,CAT-01,Copiers,278.83,195.18
PROD-1013,Epson WorkForce Pro Model Pro,CAT-01,Copiers,1014.82,710.37
PROD-1014,Ricoh IM C3000 Model Plus,CAT-01,Copiers,308.33,215.83
PROD-1015,Wireless Mouse Model Elite,CAT-01,Accessories,47.13,25.92
PROD-1016,Mechanical Keyboard Model Plus,CAT-01,Accessories,48.98,26.94
PROD-1017,USB-C Hub Multiport Model Elite,CAT-01,Accessories,73.13,40.22
PROD-1018,Bluetooth Headphones Model Classic,CAT-01,Accessories,103.89,57.14
PROD-1019,External Hard Drive 2TB Model Pro,CAT-01,Accessories,56.81,31.25
PROD-1020,Laptop Cooling Stand Model Plus,CAT-01,Accessories,114.12,62.77
PROD-1021,Webcam 1080p Model Pro,CAT-01,Accessories,69.78,38.38
PROD-1022,USB Flash Drive 128GB Model Classic,CAT-01,Accessories,40.03,22.02
PROD-1023,3D Printer Pro Model Plus,CAT-01,Machines,538.62,377.03
PROD-1024,Cricut Cutting Machine Model Plus,CAT-01,Machines,800.19,560.13
PROD-1025,Document Scanner HighSpeed Model Elite,CAT-01,Machines,868.97,608.28
PROD-1026,Label Maker Wireless Model Plus,CAT-01,Machines,1386.65,970.66
PROD-1027,Heavy Duty Paper Shredder Model Plus,CAT-01,Machines,477.8,334.46
PROD-1028,Cash Register Terminal Model Pro,CAT-01,Machines,639.64,447.75
PROD-1029,Ergonomic Office Chair Model Classic,CAT-02,Chairs,375.2,307.66
PROD-1030,Mesh Task Chair Model Pro,CAT-02,Chairs,584.18,479.03
PROD-1031,Executive Leather Chair Model Pro,CAT-02,Chairs,313.87,257.37
PROD-1032,Gaming Chair with Support Model Plus,CAT-02,Chairs,545.31,447.15
PROD-1033,Drafting Stool Model Classic,CAT-02,Chairs,103.52,84.89
PROD-1034,Folding Chair Set 4-Pack Model Pro,CAT-02,Chairs,282.11,231.33
PROD-1035,Stackable Guest Chair Model Pro,CAT-02,Chairs,360.64,295.72
PROD-1036,Standing Desk Electric Model Plus,CAT-02,Tables,581.93,477.18
PROD-1037,Conference Room Table Model X,CAT-02,Tables,362.2,297.0
PROD-1038,Writing Desk Wood Model Classic,CAT-02,Tables,234.06,191.93
PROD-1039,Drafting Table Adjustable Model X,CAT-02,Tables,118.77,97.39
PROD-1040,L-Shaped Corner Desk Model Plus,CAT-02,Tables,481.57,394.89
PROD-1041,Folding Work Bench Model Elite,CAT-02,Tables,232.61,190.74
PROD-1042,5-Shelf Bookcase Wood Model Elite,CAT-02,Bookcases,183.4,150.39
PROD-1043,Metal Frame Bookshelf Model Elite,CAT-02,Bookcases,490.89,402.53
PROD-1044,Corner Bookshelf Unit Model Pro,CAT-02,Bookcases,118.5,97.17
PROD-1045,Modular Storage Bookcase Model X,CAT-02,Bookcases,140.25,115.0
PROD-1046,Floating Shelf Set 3-Pack Model Pro,CAT-02,Bookcases,404.12,331.38
